#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 10:35:40
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 10:35:40 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.17.166 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10.5;+en-US;+rv:1.9.2.13)+Gecko/20101203+Firefox/3.6.13+GTB7.1 200 0 64
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 14:58:47
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/photoimg.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/sm_prevset.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 404 0 2
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/sm_back.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 404 0 2
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/sm_next.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 404 0 2
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/toppic.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/group_icon.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/sm_nextset.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 404 0 2
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/map2.php - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/referral_network_title.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/referralicon.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/silhouette.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/comingsoon.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/gotocity.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/gp_citycounty.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/mydocuments.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/rd_citycounty.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/myservbtn.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /images/man.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/red_deer_county_title.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/abcrealty.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/beigestripe.jpg - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /dailyicon.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:54 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/reficon.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 16:18:13
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /rd_county_tmp/style.css - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /rd_county_tmp/map2.php - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /ajax.js - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/mylist.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/3.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 16:18:13 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/countygrad.jpg - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
