#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 21:27:12
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.73.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /images/upload2.png - 80 - 66.249.73.154 Googlebot-Image/1.0 304 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 22:02:50
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/gateway.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/college_park.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/carriage_lane.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /shimmer_list2.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/hillside.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/central_business_district.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /shimmer_search2.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/road2.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/road1.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/crystal_landing.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/ivy_lake_estates.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/vision_west.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/cobblestone.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/swanavon.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/smith.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/richmond_industrial.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/canfor.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/creekside.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/westpointe.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/riverstone.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/railtown.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/southview.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/highland_park.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/mission_heights.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/patterson_place.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/pinnacle_ridge.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
